Hour;kWh
00.00.00;46,49
01.00.00;190,32
02.00.00;185,11
03.00.00;184,47
04.00.00;188,60
05.00.00;217,16
06.00.00;210,83
07.00.00;197,66
08.00.00;204,95
09.00.00;203,82
10.00.00;204,90
11.00.00;199,73
12.00.00;192,52
13.00.00;200,33
14.00.00;199,44
15.00.00;203,34
16.00.00;194,88
17.00.00;197,12
18.00.00;192,19
19.00.00;192,21
20.00.00;194,71
21.00.00;194,78
22.00.00;215,68
23.00.00;203,99
00.00.00;281,16
01.00.00;316,05
02.00.00;314,42
03.00.00;289,53
04.00.00;349,02
05.00.00;338,96
06.00.00;356,94
07.00.00;475,22
08.00.00;482,40
09.00.00;448,77
10.00.00;467,75
11.00.00;447,68
12.00.00;439,71
13.00.00;449,07
14.00.00;438,80
15.00.00;427,28
16.00.00;411,45
17.00.00;404,86
18.00.00;378,93
19.00.00;364,78
20.00.00;340,93
21.00.00;273,21
22.00.00;220,36
23.00.00;199,85
00.00.00;290,36
01.00.00;320,36
02.00.00;293,57
03.00.00;272,40
04.00.00;323,46
05.00.00;310,63
06.00.00;325,50
07.00.00;415,50
08.00.00;419,40
09.00.00;429,96
10.00.00;403,68
11.00.00;413,87
12.00.00;427,52
13.00.00;429,10
14.00.00;420,91
15.00.00;403,07
16.00.00;400,08
17.00.00;399,03
18.00.00;373,84
19.00.00;358,65
20.00.00;338,47
21.00.00;269,58
22.00.00;213,92
23.00.00;188,69
00.00.00;188,69
01.00.00;193,79
02.00.00;262,42
03.00.00;305,40
04.00.00;286,54
05.00.00;339,51
06.00.00;320,56
07.00.00;356,69
08.00.00;471,38
09.00.00;472,05
10.00.00;453,09
11.00.00;448,88
12.00.00;452,64
13.00.00;440,51
14.00.00;456,05
15.00.00;435,42
16.00.00;434,59
17.00.00;429,83
18.00.00;406,39
19.00.00;390,63
20.00.00;375,75
21.00.00;347,82
22.00.00;268,62
23.00.00;205,89
00.00.00;173,83
01.00.00;197,88
02.00.00;280,33
03.00.00;309,83
04.00.00;315,83
05.00.00;331,79
06.00.00;341,02
07.00.00;347,64
08.00.00;464,68
09.00.00;483,30
10.00.00;481,98
11.00.00;473,83
12.00.00;468,57
13.00.00;441,50
14.00.00;451,93
15.00.00;430,84
16.00.00;417,38
17.00.00;414,82
18.00.00;408,10
19.00.00;396,77
20.00.00;366,35
21.00.00;342,60
22.00.00;270,32
23.00.00;215,31
00.00.00;195,25
01.00.00;172,33
02.00.00;267,54
03.00.00;301,51
04.00.00;280,64
05.00.00;347,20
06.00.00;316,54
07.00.00;363,78
08.00.00;454,11
09.00.00;466,46
10.00.00;452,73
11.00.00;452,28
12.00.00;437,99
13.00.00;447,61
14.00.00;441,62
15.00.00;424,77
16.00.00;426,41
17.00.00;403,64
18.00.00;395,47
19.00.00;385,76
20.00.00;373,32
21.00.00;343,93
22.00.00;266,03
23.00.00;218,25
00.00.00;188,11
01.00.00;193,16
02.00.00;302,32
03.00.00;287,11
04.00.00;280,49
05.00.00;317,13
06.00.00;317,01
07.00.00;423,25
08.00.00;461,75
09.00.00;479,43
10.00.00;482,71
11.00.00;468,53
12.00.00;469,47
13.00.00;447,56
14.00.00;485,25
15.00.00;434,99
16.00.00;448,56
17.00.00;427,18
18.00.00;411,91
19.00.00;403,22
20.00.00;376,54
21.00.00;353,24
22.00.00;272,84
23.00.00;214,86
00.00.00;193,97
01.00.00;296,61
02.00.00;306,46
03.00.00;284,23
04.00.00;292,21
05.00.00;308,42
06.00.00;335,36
07.00.00;451,31
08.00.00;477,05
09.00.00;482,56
10.00.00;475,62
11.00.00;460,05
12.00.00;461,30
13.00.00;438,55
14.00.00;480,54
15.00.00;449,83
16.00.00;441,30
17.00.00;422,76
18.00.00;423,30
19.00.00;403,46
20.00.00;373,90
21.00.00;355,39
22.00.00;341,86
23.00.00;321,13
00.00.00;289,89
01.00.00;390,52
02.00.00;405,72
03.00.00;385,78
04.00.00;380,46
05.00.00;454,86
06.00.00;431,15
07.00.00;433,61
08.00.00;456,17
09.00.00;480,77
10.00.00;450,52
11.00.00;433,44
12.00.00;423,21
13.00.00;432,85
14.00.00;433,72
15.00.00;424,88
16.00.00;418,83
17.00.00;405,30
18.00.00;391,87
19.00.00;385,74
20.00.00;367,03
21.00.00;346,70
22.00.00;347,40
23.00.00;319,45
00.00.00;383,92
01.00.00;410,76
02.00.00;390,28
03.00.00;397,52
04.00.00;434,13
05.00.00;430,15
06.00.00;428,60
07.00.00;439,34
08.00.00;434,80
09.00.00;422,84
10.00.00;399,73
11.00.00;385,42
12.00.00;428,21
13.00.00;406,81
14.00.00;392,81
15.00.00;415,78
16.00.00;388,81
17.00.00;398,41
18.00.00;385,20
19.00.00;370,76
20.00.00;414,55
21.00.00;455,17
22.00.00;407,19
23.00.00;393,81
00.00.00;393,81
01.00.00;367,26
02.00.00;365,94
03.00.00;408,45
04.00.00;408,96
05.00.00;455,87
06.00.00;427,69
07.00.00;448,14
08.00.00;518,28
09.00.00;476,19
10.00.00;485,54
11.00.00;457,30
12.00.00;445,98
13.00.00;441,04
14.00.00;457,17
15.00.00;441,98
16.00.00;426,81
17.00.00;433,27
18.00.00;420,13
19.00.00;405,83
20.00.00;397,27
21.00.00;464,72
22.00.00;373,28
23.00.00;338,83
00.00.00;270,06
01.00.00;272,52
02.00.00;305,59
03.00.00;267,42
04.00.00;305,98
05.00.00;351,82
06.00.00;372,71
07.00.00;382,02
08.00.00;459,14
09.00.00;466,84
10.00.00;462,81
11.00.00;469,33
12.00.00;442,96
13.00.00;455,72
14.00.00;454,98
15.00.00;434,05
16.00.00;434,99
17.00.00;441,72
18.00.00;416,50
19.00.00;411,59
20.00.00;387,77
21.00.00;440,83
22.00.00;374,30
23.00.00;326,54
00.00.00;280,37
01.00.00;269,37
02.00.00;286,17
03.00.00;288,20
04.00.00;298,94
05.00.00;346,85
06.00.00;360,74
07.00.00;357,21
08.00.00;469,59
09.00.00;465,34
10.00.00;469,62
11.00.00;462,98
12.00.00;472,11
13.00.00;465,76
14.00.00;449,47
15.00.00;451,18
16.00.00;435,39
17.00.00;433,86
18.00.00;421,98
19.00.00;415,37
20.00.00;393,16
21.00.00;443,09
22.00.00;368,71
23.00.00;331,03
00.00.00;303,95
01.00.00;300,75
02.00.00;242,63
03.00.00;283,05
04.00.00;302,58
05.00.00;337,20
06.00.00;345,48
07.00.00;357,87
08.00.00;481,49
09.00.00;495,92
10.00.00;463,10
11.00.00;434,15
12.00.00;456,95
13.00.00;448,79
14.00.00;449,55
15.00.00;462,16
16.00.00;445,22
17.00.00;447,60
18.00.00;423,94
19.00.00;423,59
20.00.00;403,05
21.00.00;484,95
22.00.00;385,53
23.00.00;329,01
00.00.00;293,88
01.00.00;286,95
02.00.00;299,16
03.00.00;280,55
04.00.00;320,61
05.00.00;333,51
06.00.00;354,25
07.00.00;355,68
08.00.00;485,49
09.00.00;497,99
10.00.00;472,48
11.00.00;488,18
12.00.00;461,91
13.00.00;466,53
14.00.00;456,31
15.00.00;457,49
16.00.00;453,16
17.00.00;447,16
18.00.00;436,33
19.00.00;419,84
20.00.00;385,17
21.00.00;427,23
22.00.00;392,68
23.00.00;334,96
00.00.00;266,52
01.00.00;276,56
02.00.00;282,56
03.00.00;291,69
04.00.00;290,32
05.00.00;357,07
06.00.00;359,57
07.00.00;363,62
08.00.00;453,38
09.00.00;475,48
10.00.00;448,59
11.00.00;452,09
12.00.00;450,74
13.00.00;449,00
14.00.00;432,84
15.00.00;415,38
16.00.00;411,04
17.00.00;410,74
18.00.00;404,09
19.00.00;397,89
20.00.00;380,43
21.00.00;479,97
22.00.00;377,89
23.00.00;300,38
00.00.00;274,82
01.00.00;247,51
02.00.00;265,08
03.00.00;295,85
04.00.00;333,66
05.00.00;328,10
06.00.00;334,12
07.00.00;414,36
08.00.00;432,79
09.00.00;424,47
10.00.00;423,57
11.00.00;415,83
12.00.00;428,17
13.00.00;424,31
14.00.00;412,62
15.00.00;402,48
16.00.00;408,49
17.00.00;409,78
18.00.00;404,11
19.00.00;385,23
20.00.00;465,45
21.00.00;372,32
22.00.00;324,59
23.00.00;273,92
00.00.00;273,92
01.00.00;277,27
02.00.00;248,14
03.00.00;291,46
04.00.00;289,56
05.00.00;288,40
06.00.00;279,19
07.00.00;362,16
08.00.00;488,22
09.00.00;489,33
10.00.00;484,81
11.00.00;488,37
12.00.00;474,47
13.00.00;479,19
14.00.00;469,04
15.00.00;456,26
16.00.00;431,11
17.00.00;431,51
18.00.00;416,81
19.00.00;407,68
20.00.00;396,02
21.00.00;430,78
22.00.00;380,45
23.00.00;331,56
00.00.00;291,56
01.00.00;286,69
02.00.00;259,95
03.00.00;274,94
04.00.00;293,92
05.00.00;345,91
06.00.00;320,81
07.00.00;360,98
08.00.00;492,11
09.00.00;480,77
10.00.00;458,80
11.00.00;492,91
12.00.00;459,10
13.00.00;449,89
14.00.00;467,41
15.00.00;444,87
16.00.00;429,90
17.00.00;434,45
18.00.00;421,15
19.00.00;412,40
20.00.00;389,19
21.00.00;421,88
22.00.00;394,38
23.00.00;347,01
00.00.00;298,59
01.00.00;283,02
02.00.00;234,40
03.00.00;272,67
04.00.00;294,54
05.00.00;342,99
06.00.00;318,16
07.00.00;355,69
08.00.00;474,08
09.00.00;465,17
10.00.00;469,37
11.00.00;484,61
12.00.00;447,66
13.00.00;453,93
14.00.00;456,10
15.00.00;431,61
16.00.00;436,19
17.00.00;439,15
18.00.00;430,42
19.00.00;413,39
20.00.00;407,08
21.00.00;434,85
22.00.00;383,05
23.00.00;340,18
00.00.00;273,79
01.00.00;305,87
02.00.00;252,50
03.00.00;261,49
04.00.00;307,58
05.00.00;363,06
06.00.00;324,77
07.00.00;382,32
08.00.00;450,49
09.00.00;485,13
10.00.00;456,81
11.00.00;490,36
12.00.00;486,27
13.00.00;468,00
14.00.00;475,40
15.00.00;459,07
16.00.00;450,76
17.00.00;450,90
18.00.00;438,83
19.00.00;423,72
20.00.00;424,71
21.00.00;473,47
22.00.00;385,24
23.00.00;332,98
00.00.00;319,28
01.00.00;294,41
02.00.00;292,96
03.00.00;300,95
04.00.00;310,09
05.00.00;350,49
06.00.00;308,79
07.00.00;356,17
08.00.00;481,49
09.00.00;491,52
10.00.00;495,11
11.00.00;480,81
12.00.00;463,21
13.00.00;450,31
14.00.00;455,35
15.00.00;475,71
16.00.00;437,39
17.00.00;447,85
18.00.00;442,01
19.00.00;427,92
20.00.00;421,48
21.00.00;452,04
22.00.00;367,62
23.00.00;305,35
00.00.00;298,93
01.00.00;320,81
02.00.00;296,24
03.00.00;279,49
04.00.00;340,57
05.00.00;388,34
06.00.00;340,84
07.00.00;462,94
08.00.00;478,92
09.00.00;459,65
10.00.00;465,10
11.00.00;472,18
12.00.00;448,49
13.00.00;449,41
14.00.00;444,83
15.00.00;427,39
16.00.00;426,67
17.00.00;424,81
18.00.00;406,18
19.00.00;393,10
20.00.00;471,77
21.00.00;375,95
22.00.00;320,58
23.00.00;296,76
00.00.00;335,51
01.00.00;292,29
02.00.00;294,68
03.00.00;294,53
04.00.00;336,52
05.00.00;311,19
06.00.00;355,06
07.00.00;447,11
08.00.00;476,65
09.00.00;445,05
10.00.00;460,29
11.00.00;422,87
12.00.00;441,61
13.00.00;426,30
14.00.00;428,37
15.00.00;429,52
16.00.00;440,00
17.00.00;420,43
18.00.00;394,43
19.00.00;390,97
20.00.00;485,12
21.00.00;390,89
22.00.00;336,86
23.00.00;308,20
00.00.00;308,20
01.00.00;280,37
02.00.00;280,11
03.00.00;307,55
04.00.00;309,61
05.00.00;332,65
06.00.00;319,63
07.00.00;363,01
08.00.00;530,14
09.00.00;491,08
10.00.00;489,40
11.00.00;463,13
12.00.00;455,67
13.00.00;452,84
14.00.00;474,83
15.00.00;454,19
16.00.00;429,85
17.00.00;434,02
18.00.00;418,88
19.00.00;419,77
20.00.00;390,20
21.00.00;438,78
22.00.00;398,23
23.00.00;329,15
00.00.00;300,77
01.00.00;278,61
02.00.00;231,25
03.00.00;277,59
04.00.00;303,07
05.00.00;359,33
06.00.00;357,77
07.00.00;343,70
08.00.00;485,29
09.00.00;469,77
10.00.00;464,77
11.00.00;447,64
12.00.00;453,34
13.00.00;447,73
14.00.00;465,57
15.00.00;452,43
16.00.00;438,59
17.00.00;436,88
18.00.00;421,20
19.00.00;413,41
20.00.00;380,82
21.00.00;363,50
22.00.00;285,26
23.00.00;222,53
00.00.00;200,19
01.00.00;196,29
02.00.00;283,41
03.00.00;323,45
04.00.00;297,27
05.00.00;358,15
06.00.00;362,12
07.00.00;437,92
08.00.00;478,20
09.00.00;469,21
10.00.00;453,75
11.00.00;458,85
12.00.00;441,55
13.00.00;457,09
14.00.00;445,58
15.00.00;444,69
16.00.00;431,89
17.00.00;426,88
18.00.00;408,23
19.00.00;407,96
20.00.00;395,66
21.00.00;361,40
22.00.00;288,43
23.00.00;230,95
00.00.00;202,15
01.00.00;206,09
02.00.00;263,61
03.00.00;313,50
04.00.00;296,56
05.00.00;343,68
06.00.00;327,29
07.00.00;432,89
08.00.00;484,94
09.00.00;461,60
10.00.00;469,31
11.00.00;453,75
12.00.00;467,56
13.00.00;470,09
14.00.00;483,34
15.00.00;460,09
16.00.00;429,85
17.00.00;445,02
18.00.00;421,92
19.00.00;416,01
20.00.00;394,92
21.00.00;367,23
22.00.00;373,89
23.00.00;336,05
00.00.00;310,51
01.00.00;397,53
02.00.00;432,64
03.00.00;428,93
04.00.00;359,94
05.00.00;387,00
06.00.00;353,57
07.00.00;360,93
08.00.00;476,27
09.00.00;472,52
10.00.00;480,07
11.00.00;500,85
12.00.00;457,49
13.00.00;468,29
14.00.00;491,17
15.00.00;498,62
16.00.00;460,70
17.00.00;460,10
18.00.00;439,70
19.00.00;425,01
20.00.00;398,73
21.00.00;372,05
22.00.00;290,59
23.00.00;225,28
00.00.00;306,87
01.00.00;324,38
02.00.00;314,45
